Letter,Filename,Quantity,Printed,Installed,Notes
A,A_Electronics_Box.stl,1,,,Upright
B,B_Box_Lid.stl,1,,,Test L1/L2 first
C,C_Shield_Base.stl,1,,,Mounting ear included
D,D_Shield_Louver_PRINT_6.stl,6,,,Bosses face upward
E,E_Shield_Roof.stl,1,,,Domed side upward
F,F_Shield_Rod_PRINT_3.stl,3,,,Print flat with brim
G,G_SHT31_Sled.stl,1,,,Sensor opening unobstructed
H,H_Sky_Head_Top.stl,1,,,Tubes face unobstructed zenith; optical changes require SQM recalibration
I,I_Sky_Head_Tray.stl,1,,,Measure breakout boards first; keep TSL2591 orientation fixed
J,J_Rain_Plate_Mount.stl,1,,,Print on supplied side with brim
K,K_Mounting_Plate.stl,1,,,30 percent infill
L,L_Fit_Kit_4_PIECES_PRINT_FIRST.stl,1,,,Print before all other parts
